candidate_id,jurisdiction,title,year_start,year_end,year_text,inquiry_family,discovery_source,candidate_page,verification_status,recommendation_tracking_status,notes
rc-candidate-0094,Commonwealth,Australian Post Office Commission of inquiry (1973–1974),1973,1974,1973–1974,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0095,Commonwealth,Commission of inquiry into land tenures (1973–1976),1973,1976,1973–1976,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0096,Commonwealth,National Estate Committee of Inquiry (1973-1974),1973,1974,1973-1974,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0097,Commonwealth,Royal Commission on petroleum (1973–1976),1973,1976,1973–1976,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0098,Commonwealth,Commission of Inquiry into the maritime industry (1973–1976),1973,1976,1973–1976,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0099,Commonwealth,Independent Inquiry into Frequency Modulation Broadcasting (1973–1974),1973,1974,1973–1974,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Independent_Inquiry_into_Frequency_Modulation_Broadcasting,candidate_unverified,not_assessed,
rc-candidate-0100,Commonwealth,Commission of Inquiry into transport to and from Tasmania (1974–1976),1974,1976,1974–1976,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0101,Commonwealth,Royal Commission on Australian Government Administration (1974–1976),1974,1976,1974–1976,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0102,Commonwealth,Royal Commission on Human Relationships (1974–1978),1974,1978,1974–1978,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_Human_Relationships,candidate_unverified,not_assessed,
rc-candidate-0103,Commonwealth,Royal Commission on Intelligence and Security (1974–1977),1974,1977,1974–1977,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_Intelligence_and_Security,candidate_unverified,not_assessed,
rc-candidate-0104,Commonwealth,Royal Commission into alleged payments to maritime unions (1974–1976),1974,1976,1974–1976,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0105,Commonwealth,Royal Commission to inquire into and report upon certain incidents in which Aborigines were involved in the Laverton area (1975–1976),1975,1976,1975–1976,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0106,Commonwealth,Royal Commission on Norfolk Island (1975–1976),1975,1976,1975–1976,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0107,Commonwealth,Australian Royal Commission of inquiry into drugs (1977–1980),1977,1980,1977–1980,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0108,Commonwealth,"Royal Commission of inquiry into matters in relation to electoral redistribution Queensland, 1977 (1978)",1977,1978,1977 1978,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0109,Commonwealth,Commission of inquiry into the efficiency and administration of hospitals (1979–1981),1979,1981,1979–1981,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0110,Commonwealth,Commission of inquiry into the viability of the Christmas Island phosphate industry (1979–1980),1979,1980,1979–1980,commission_of_inquiry,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0111,Commonwealth,Royal Commission on the activities of the Federated Ship Painters and Dockers Union (1980–1984),1980,1984,1980–1984,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_on_the_activities_of_the_Federated_Ship_Painters_and_Dockers_Union,candidate_unverified,not_assessed,
rc-candidate-0112,Commonwealth,Royal Commission of Inquiry into Drug Trafficking (1981–1983),1981,1983,1981–1983,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_of_Inquiry_into_Drug_Trafficking,candidate_unverified,not_assessed,
rc-candidate-0113,Commonwealth,Royal Commission into the activities of the Australian Building Construction Employees' and Builders Labourers' Federation (1981–1982),1981,1982,1981–1982,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Builders_Labourers_Federation,candidate_unverified,not_assessed,
rc-candidate-0114,Commonwealth,Royal Commission into Australian meat industry (1981–1982),1981,1982,1981–1982,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Australian_meat_substitution_scandal,candidate_unverified,not_assessed,
rc-candidate-0115,Commonwealth,Royal Commission of Inquiry into the activities of the Nugan Hand Group (1983–1985),1983,1985,1983–1985,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Royal_Commission_of_Inquiry_into_the_activities_of_the_Nugan_Hand_Group,candidate_unverified,not_assessed,
